date,product_id,warehouse_id,strategy,demand,inbound_units,actual_outbound,inventory_level,unmet_demand,stockout_flag
2024-01-07,P013,WH1,Hybrid A,0,0,0,1,0,False
2024-01-07,P014,WH1,Hybrid A,8,0,8,10,0,False
2024-01-07,P015,WH1,Hybrid A,5,0,5,2,0,False
2024-01-08,P001,WH1,Hybrid A,32,0,32,32,0,False
2024-01-08,P002,WH1,Hybrid A,12,0,12,69,0,False
2024-01-08,P003,WH1,Hybrid A,15,0,15,115,0,False
2024-01-08,P004,WH1,Hybrid A,4,0,4,137,0,False
2024-01-08,P005,WH1,Hybrid A,24,0,24,42,0,False
2024-01-08,P006,WH1,Hybrid A,3,0,3,11,0,False
2024-01-08,P007,WH1,Hybrid A,14,80,14,66,0,False
2024-01-08,P008,WH1,Hybrid A,0,80,0,80,0,False
2024-01-08,P009,WH1,Hybrid A,10,80,10,83,0,False
2024-01-08,P010,WH1,Hybrid A,10,80,10,70,0,False
2024-01-08,P011,WH1,Hybrid A,5,50,5,45,0,False
2024-01-08,P012,WH1,Hybrid A,1,30,1,42,0,False
2024-01-08,P013,WH1,Hybrid A,2,50,2,49,0,False
2024-01-08,P014,WH1,Hybrid A,7,30,7,33,0,False
2024-01-08,P015,WH1,Hybrid A,14,40,14,28,0,False
2024-01-09,P001,WH1,Hybrid A,17,0,17,15,0,False
2024-01-09,P002,WH1,Hybrid A,30,0,30,39,0,False
2024-01-09,P003,WH1,Hybrid A,0,0,0,115,0,False
2024-01-09,P004,WH1,Hybrid A,5,0,5,132,0,False
2024-01-09,P005,WH1,Hybrid A,23,0,23,19,0,False
2024-01-09,P006,WH1,Hybrid A,1,0,1,10,0,False
2024-01-09,P007,WH1,Hybrid A,2,0,2,64,0,False
2024-01-09,P008,WH1,Hybrid A,6,0,6,74,0,False
2024-01-09,P009,WH1,Hybrid A,0,0,0,83,0,False
2024-01-09,P010,WH1,Hybrid A,11,0,11,59,0,False
2024-01-09,P011,WH1,Hybrid A,4,0,4,41,0,False
2024-01-09,P012,WH1,Hybrid A,4,0,4,38,0,False
2024-01-09,P013,WH1,Hybrid A,0,0,0,49,0,False
2024-01-09,P014,WH1,Hybrid A,1,0,1,32,0,False
2024-01-09,P015,WH1,Hybrid A,7,0,7,21,0,False
2024-01-10,P001,WH1,Hybrid A,10,250,10,255,0,False
2024-01-10,P002,WH1,Hybrid A,5,250,5,284,0,False
2024-01-10,P003,WH1,Hybrid A,8,0,8,107,0,False
2024-01-10,P004,WH1,Hybrid A,21,0,21,111,0,False
2024-01-10,P005,WH1,Hybrid A,5,250,5,264,0,False
2024-01-10,P006,WH1,Hybrid A,13,80,13,77,0,False
2024-01-10,P007,WH1,Hybrid A,12,0,12,52,0,False
2024-01-10,P008,WH1,Hybrid A,8,0,8,66,0,False
2024-01-10,P009,WH1,Hybrid A,14,0,14,69,0,False
2024-01-10,P010,WH1,Hybrid A,9,0,9,50,0,False
2024-01-10,P011,WH1,Hybrid A,3,0,3,38,0,False
2024-01-10,P012,WH1,Hybrid A,1,0,1,37,0,False
2024-01-10,P013,WH1,Hybrid A,8,0,8,41,0,False
2024-01-10,P014,WH1,Hybrid A,4,0,4,28,0,False
2024-01-10,P015,WH1,Hybrid A,1,0,1,20,0,False
2024-01-11,P001,WH1,Hybrid A,8,0,8,247,0,False
2024-01-11,P002,WH1,Hybrid A,19,0,19,265,0,False
2024-01-11,P003,WH1,Hybrid A,37,0,37,70,0,False
2024-01-11,P004,WH1,Hybrid A,13,0,13,98,0,False
2024-01-11,P005,WH1,Hybrid A,27,0,27,237,0,False
2024-01-11,P006,WH1,Hybrid A,2,0,2,75,0,False
2024-01-11,P007,WH1,Hybrid A,14,0,14,38,0,False
2024-01-11,P008,WH1,Hybrid A,3,0,3,63,0,False
2024-01-11,P009,WH1,Hybrid A,13,0,13,56,0,False
2024-01-11,P010,WH1,Hybrid A,9,0,9,41,0,False
2024-01-11,P011,WH1,Hybrid A,9,0,9,29,0,False
2024-01-11,P012,WH1,Hybrid A,0,0,0,37,0,False
2024-01-11,P013,WH1,Hybrid A,6,0,6,35,0,False
2024-01-11,P014,WH1,Hybrid A,5,0,5,23,0,False
2024-01-11,P015,WH1,Hybrid A,3,0,3,17,0,False
2024-01-12,P001,WH1,Hybrid A,31,0,31,216,0,False
2024-01-12,P002,WH1,Hybrid A,25,0,25,240,0,False
2024-01-12,P003,WH1,Hybrid A,0,0,0,70,0,False
2024-01-12,P004,WH1,Hybrid A,20,0,20,78,0,False
2024-01-12,P005,WH1,Hybrid A,15,0,15,222,0,False
2024-01-12,P006,WH1,Hybrid A,1,0,1,74,0,False
2024-01-12,P007,WH1,Hybrid A,10,0,10,28,0,False
2024-01-12,P008,WH1,Hybrid A,5,0,5,58,0,False
2024-01-12,P009,WH1,Hybrid A,1,0,1,55,0,False
2024-01-12,P010,WH1,Hybrid A,8,0,8,33,0,False
2024-01-12,P011,WH1,Hybrid A,2,0,2,27,0,False
2024-01-12,P012,WH1,Hybrid A,10,0,10,27,0,False
2024-01-12,P013,WH1,Hybrid A,6,0,6,29,0,False
2024-01-12,P014,WH1,Hybrid A,6,0,6,17,0,False
2024-01-12,P015,WH1,Hybrid A,2,0,2,15,0,False
2024-01-13,P001,WH1,Hybrid A,16,0,16,200,0,False
2024-01-13,P002,WH1,Hybrid A,5,0,5,235,0,False
2024-01-13,P003,WH1,Hybrid A,15,0,15,55,0,False
2024-01-13,P004,WH1,Hybrid A,19,0,19,59,0,False
2024-01-13,P005,WH1,Hybrid A,20,0,20,202,0,False
2024-01-13,P006,WH1,Hybrid A,4,0,4,70,0,False
2024-01-13,P007,WH1,Hybrid A,10,0,10,18,0,False
2024-01-13,P008,WH1,Hybrid A,9,0,9,49,0,False
2024-01-13,P009,WH1,Hybrid A,5,0,5,50,0,False
2024-01-13,P010,WH1,Hybrid A,12,0,12,21,0,False
2024-01-13,P011,WH1,Hybrid A,9,0,9,18,0,False
2024-01-13,P012,WH1,Hybrid A,5,0,5,22,0,False
2024-01-13,P013,WH1,Hybrid A,1,0,1,28,0,False
2024-01-13,P014,WH1,Hybrid A,0,0,0,17,0,False
2024-01-13,P015,WH1,Hybrid A,6,0,6,9,0,False
2024-01-14,P001,WH1,Hybrid A,17,0,17,183,0,False
2024-01-14,P002,WH1,Hybrid A,19,0,19,216,0,False
2024-01-14,P003,WH1,Hybrid A,9,250,9,296,0,False
2024-01-14,P004,WH1,Hybrid A,25,0,25,34,0,False
2024-01-14,P005,WH1,Hybrid A,23,0,23,179,0,False
2024-01-14,P006,WH1,Hybrid A,10,0,10,60,0,False
2024-01-14,P007,WH1,Hybrid A,3,0,3,15,0,False
2024-01-14,P008,WH1,Hybrid A,11,0,11,38,0,False
2024-01-14,P009,WH1,Hybrid A,7,0,7,43,0,False
2024-01-14,P010,WH1,Hybrid A,4,0,4,17,0,False
2024-01-14,P011,WH1,Hybrid A,0,0,0,18,0,False
2024-01-14,P012,WH1,Hybrid A,1,0,1,21,0,False
2024-01-14,P013,WH1,Hybrid A,13,0,13,15,0,False
2024-01-14,P014,WH1,Hybrid A,12,0,12,5,0,False
2024-01-14,P015,WH1,Hybrid A,4,0,4,5,0,False
2024-01-15,P001,WH1,Hybrid A,23,0,23,160,0,False
2024-01-15,P002,WH1,Hybrid A,46,0,46,170,0,False
2024-01-15,P003,WH1,Hybrid A,13,0,13,283,0,False
2024-01-15,P004,WH1,Hybrid A,26,250,26,258,0,False
2024-01-15,P005,WH1,Hybrid A,13,0,13,166,0,False
2024-01-15,P006,WH1,Hybrid A,12,0,12,48,0,False
2024-01-15,P007,WH1,Hybrid A,8,0,8,7,0,False
2024-01-15,P008,WH1,Hybrid A,3,0,3,35,0,False
2024-01-15,P009,WH1,Hybrid A,8,0,8,35,0,False
2024-01-15,P010,WH1,Hybrid A,11,0,11,6,0,False
2024-01-15,P011,WH1,Hybrid A,0,40,0,58,0,False
2024-01-15,P012,WH1,Hybrid A,0,30,0,51,0,False
2024-01-15,P013,WH1,Hybrid A,3,30,3,42,0,False
2024-01-15,P014,WH1,Hybrid A,2,40,2,43,0,False
2024-01-15,P015,WH1,Hybrid A,1,50,1,54,0,False
2024-01-16,P001,WH1,Hybrid A,16,0,16,144,0,False
2024-01-16,P002,WH1,Hybrid A,2,0,2,168,0,False
2024-01-16,P003,WH1,Hybrid A,20,0,20,263,0,False
2024-01-16,P004,WH1,Hybrid A,24,0,24,234,0,False
2024-01-16,P005,WH1,Hybrid A,13,0,13,153,0,False
2024-01-16,P006,WH1,Hybrid A,4,0,4,44,0,False
2024-01-16,P007,WH1,Hybrid A,0,80,0,87,0,False
2024-01-16,P008,WH1,Hybrid A,13,0,13,22,0,False
2024-01-16,P009,WH1,Hybrid A,7,0,7,28,0,False
2024-01-16,P010,WH1,Hybrid A,8,80,8,78,0,False
2024-01-16,P011,WH1,Hybrid A,1,0,1,57,0,False
2024-01-16,P012,WH1,Hybrid A,10,0,10,41,0,False
2024-01-16,P013,WH1,Hybrid A,21,0,21,21,0,False
2024-01-16,P014,WH1,Hybrid A,0,0,0,43,0,False
2024-01-16,P015,WH1,Hybrid A,3,0,3,51,0,False
2024-01-17,P001,WH1,Hybrid A,12,0,12,132,0,False
2024-01-17,P002,WH1,Hybrid A,14,0,14,154,0,False
2024-01-17,P003,WH1,Hybrid A,21,0,21,242,0,False
2024-01-17,P004,WH1,Hybrid A,1,0,1,233,0,False
2024-01-17,P005,WH1,Hybrid A,13,0,13,140,0,False
2024-01-17,P006,WH1,Hybrid A,16,0,16,28,0,False
2024-01-17,P007,WH1,Hybrid A,0,0,0,87,0,False
2024-01-17,P008,WH1,Hybrid A,11,0,11,11,0,False
2024-01-17,P009,WH1,Hybrid A,3,0,3,25,0,False
2024-01-17,P010,WH1,Hybrid A,1,0,1,77,0,False
2024-01-17,P011,WH1,Hybrid A,0,0,0,57,0,False
2024-01-17,P012,WH1,Hybrid A,0,0,0,41,0,False
2024-01-17,P013,WH1,Hybrid A,0,0,0,21,0,False
2024-01-17,P014,WH1,Hybrid A,6,0,6,37,0,False
2024-01-17,P015,WH1,Hybrid A,7,0,7,44,0,False
2024-01-18,P001,WH1,Hybrid A,28,0,28,104,0,False
2024-01-18,P002,WH1,Hybrid A,14,0,14,140,0,False
2024-01-18,P003,WH1,Hybrid A,23,0,23,219,0,False
2024-01-18,P004,WH1,Hybrid A,9,0,9,224,0,False
2024-01-18,P005,WH1,Hybrid A,31,0,31,109,0,False
2024-01-18,P006,WH1,Hybrid A,4,0,4,24,0,False
2024-01-18,P007,WH1,Hybrid A,5,0,5,82,0,False
2024-01-18,P008,WH1,Hybrid A,6,0,6,5,0,False
2024-01-18,P009,WH1,Hybrid A,10,0,10,15,0,False
2024-01-18,P010,WH1,Hybrid A,14,0,14,63,0,False
2024-01-18,P011,WH1,Hybrid A,3,0,3,54,0,False
2024-01-18,P012,WH1,Hybrid A,22,0,22,19,0,False
2024-01-18,P013,WH1,Hybrid A,7,0,7,14,0,False
2024-01-18,P014,WH1,Hybrid A,1,0,1,36,0,False
2024-01-18,P015,WH1,Hybrid A,12,0,12,32,0,False
2024-01-19,P001,WH1,Hybrid A,27,0,27,77,0,False
2024-01-19,P002,WH1,Hybrid A,14,0,14,126,0,False
2024-01-19,P003,WH1,Hybrid A,42,0,42,177,0,False
2024-01-19,P004,WH1,Hybrid A,19,0,19,205,0,False
2024-01-19,P005,WH1,Hybrid A,14,0,14,95,0,False
2024-01-19,P006,WH1,Hybrid A,10,0,10,14,0,False
2024-01-19,P007,WH1,Hybrid A,9,0,9,73,0,False
2024-01-19,P008,WH1,Hybrid A,13,80,13,72,0,False
2024-01-19,P009,WH1,Hybrid A,7,0,7,8,0,False
2024-01-19,P010,WH1,Hybrid A,9,0,9,54,0,False
2024-01-19,P011,WH1,Hybrid A,6,0,6,48,0,False
2024-01-19,P012,WH1,Hybrid A,13,0,13,6,0,False
2024-01-19,P013,WH1,Hybrid A,2,0,2,12,0,False
2024-01-19,P014,WH1,Hybrid A,0,0,0,36,0,False
2024-01-19,P015,WH1,Hybrid A,4,0,4,28,0,False
2024-01-20,P001,WH1,Hybrid A,18,0,18,59,0,False
2024-01-20,P002,WH1,Hybrid A,15,0,15,111,0,False
2024-01-20,P003,WH1,Hybrid A,24,0,24,153,0,False
2024-01-20,P004,WH1,Hybrid A,13,0,13,192,0,False
2024-01-20,P005,WH1,Hybrid A,23,0,23,72,0,False
2024-01-20,P006,WH1,Hybrid A,8,0,8,6,0,False
2024-01-20,P007,WH1,Hybrid A,10,0,10,63,0,False
2024-01-20,P008,WH1,Hybrid A,5,0,5,67,0,False
2024-01-20,P009,WH1,Hybrid A,9,80,9,79,0,False
2024-01-20,P010,WH1,Hybrid A,13,0,13,41,0,False
2024-01-20,P011,WH1,Hybrid A,6,0,6,42,0,False
2024-01-20,P012,WH1,Hybrid A,0,0,0,6,0,False
2024-01-20,P013,WH1,Hybrid A,2,0,2,10,0,False
2024-01-20,P014,WH1,Hybrid A,5,0,5,31,0,False
2024-01-20,P015,WH1,Hybrid A,5,0,5,23,0,False
2024-01-21,P001,WH1,Hybrid A,31,0,31,28,0,False
2024-01-21,P002,WH1,Hybrid A,23,0,23,88,0,False
2024-01-21,P003,WH1,Hybrid A,0,0,0,153,0,False
2024-01-21,P004,WH1,Hybrid A,32,0,32,160,0,False
2024-01-21,P005,WH1,Hybrid A,19,0,19,53,0,False
2024-01-21,P006,WH1,Hybrid A,9,80,9,77,0,False
2024-01-21,P007,WH1,Hybrid A,8,0,8,55,0,False
2024-01-21,P008,WH1,Hybrid A,7,0,7,60,0,False
2024-01-21,P009,WH1,Hybrid A,4,0,4,75,0,False
2024-01-21,P010,WH1,Hybrid A,14,0,14,27,0,False
2024-01-21,P011,WH1,Hybrid A,6,0,6,36,0,False
2024-01-21,P012,WH1,Hybrid A,1,0,1,5,0,False
2024-01-21,P013,WH1,Hybrid A,6,0,6,4,0,False
2024-01-21,P014,WH1,Hybrid A,10,0,10,21,0,False
2024-01-21,P015,WH1,Hybrid A,5,0,5,18,0,False
2024-01-22,P001,WH1,Hybrid A,41,250,41,237,0,False
2024-01-22,P002,WH1,Hybrid A,18,0,18,70,0,False
2024-01-22,P003,WH1,Hybrid A,15,0,15,138,0,False
2024-01-22,P004,WH1,Hybrid A,12,0,12,148,0,False
2024-01-22,P005,WH1,Hybrid A,7,0,7,46,0,False
2024-01-22,P006,WH1,Hybrid A,2,0,2,75,0,False
2024-01-22,P007,WH1,Hybrid A,7,0,7,48,0,False
2024-01-22,P008,WH1,Hybrid A,4,0,4,56,0,False
2024-01-22,P009,WH1,Hybrid A,9,0,9,66,0,False
2024-01-22,P010,WH1,Hybrid A,3,0,3,24,0,False
2024-01-22,P011,WH1,Hybrid A,2,0,2,34,0,False
2024-01-22,P012,WH1,Hybrid A,7,50,7,48,0,False
2024-01-22,P013,WH1,Hybrid A,5,50,5,49,0,False
2024-01-22,P014,WH1,Hybrid A,12,30,12,39,0,False
2024-01-22,P015,WH1,Hybrid A,10,40,10,48,0,False
2024-01-23,P001,WH1,Hybrid A,4,0,4,233,0,False
2024-01-23,P002,WH1,Hybrid A,5,0,5,65,0,False
2024-01-23,P003,WH1,Hybrid A,17,0,17,121,0,False
2024-01-23,P004,WH1,Hybrid A,17,0,17,131,0,False
2024-01-23,P005,WH1,Hybrid A,14,250,14,282,0,False
2024-01-23,P006,WH1,Hybrid A,1,0,1,74,0,False
2024-01-23,P007,WH1,Hybrid A,6,0,6,42,0,False
2024-01-23,P008,WH1,Hybrid A,13,0,13,43,0,False
2024-01-23,P009,WH1,Hybrid A,10,0,10,56,0,False
2024-01-23,P010,WH1,Hybrid A,9,0,9,15,0,False
2024-01-23,P011,WH1,Hybrid A,7,0,7,27,0,False
2024-01-23,P012,WH1,Hybrid A,1,0,1,47,0,False
2024-01-23,P013,WH1,Hybrid A,3,0,3,46,0,False
2024-01-23,P014,WH1,Hybrid A,3,0,3,36,0,False
2024-01-23,P015,WH1,Hybrid A,8,0,8,40,0,False
2024-01-24,P001,WH1,Hybrid A,21,0,21,212,0,False
2024-01-24,P002,WH1,Hybrid A,23,0,23,42,0,False
2024-01-24,P003,WH1,Hybrid A,21,0,21,100,0,False
2024-01-24,P004,WH1,Hybrid A,23,0,23,108,0,False
2024-01-24,P005,WH1,Hybrid A,18,0,18,264,0,False
2024-01-24,P006,WH1,Hybrid A,1,0,1,73,0,False
2024-01-24,P007,WH1,Hybrid A,3,0,3,39,0,False
2024-01-24,P008,WH1,Hybrid A,8,0,8,35,0,False
2024-01-24,P009,WH1,Hybrid A,2,0,2,54,0,False
2024-01-24,P010,WH1,Hybrid A,3,80,3,92,0,False
2024-01-24,P011,WH1,Hybrid A,0,0,0,27,0,False
2024-01-24,P012,WH1,Hybrid A,2,0,2,45,0,False
2024-01-24,P013,WH1,Hybrid A,4,0,4,42,0,False
2024-01-24,P014,WH1,Hybrid A,0,0,0,36,0,False
2024-01-24,P015,WH1,Hybrid A,4,0,4,36,0,False
2024-01-25,P001,WH1,Hybrid A,15,0,15,197,0,False
2024-01-25,P002,WH1,Hybrid A,18,250,18,274,0,False
2024-01-25,P003,WH1,Hybrid A,24,0,24,76,0,False
2024-01-25,P004,WH1,Hybrid A,5,0,5,103,0,False
2024-01-25,P005,WH1,Hybrid A,15,0,15,249,0,False
2024-01-25,P006,WH1,Hybrid A,1,0,1,72,0,False
2024-01-25,P007,WH1,Hybrid A,9,0,9,30,0,False
2024-01-25,P008,WH1,Hybrid A,3,0,3,32,0,False
2024-01-25,P009,WH1,Hybrid A,3,0,3,51,0,False
2024-01-25,P010,WH1,Hybrid A,7,0,7,85,0,False
2024-01-25,P011,WH1,Hybrid A,1,0,1,26,0,False
2024-01-25,P012,WH1,Hybrid A,3,0,3,42,0,False
2024-01-25,P013,WH1,Hybrid A,1,0,1,41,0,False
2024-01-25,P014,WH1,Hybrid A,3,0,3,33,0,False
2024-01-25,P015,WH1,Hybrid A,5,0,5,31,0,False
2024-01-26,P001,WH1,Hybrid A,16,0,16,181,0,False
2024-01-26,P002,WH1,Hybrid A,17,0,17,257,0,False
2024-01-26,P003,WH1,Hybrid A,8,0,8,68,0,False
2024-01-26,P004,WH1,Hybrid A,20,0,20,83,0,False
2024-01-26,P005,WH1,Hybrid A,17,0,17,232,0,False
2024-01-26,P006,WH1,Hybrid A,9,0,9,63,0,False
2024-01-26,P007,WH1,Hybrid A,4,0,4,26,0,False
2024-01-26,P008,WH1,Hybrid A,7,0,7,25,0,False
2024-01-26,P009,WH1,Hybrid A,0,0,0,51,0,False
2024-01-26,P010,WH1,Hybrid A,0,0,0,85,0,False
2024-01-26,P011,WH1,Hybrid A,2,0,2,24,0,False
2024-01-26,P012,WH1,Hybrid A,7,0,7,35,0,False
2024-01-26,P013,WH1,Hybrid A,0,0,0,41,0,False
2024-01-26,P014,WH1,Hybrid A,10,0,10,23,0,False
2024-01-26,P015,WH1,Hybrid A,0,0,0,31,0,False
2024-01-27,P001,WH1,Hybrid A,15,0,15,166,0,False
2024-01-27,P002,WH1,Hybrid A,18,0,18,239,0,False
2024-01-27,P003,WH1,Hybrid A,13,0,13,55,0,False
2024-01-27,P004,WH1,Hybrid A,10,0,10,73,0,False
2024-01-27,P005,WH1,Hybrid A,16,0,16,216,0,False
2024-01-27,P006,WH1,Hybrid A,2,0,2,61,0,False
2024-01-27,P007,WH1,Hybrid A,4,0,4,22,0,False
2024-01-27,P008,WH1,Hybrid A,8,0,8,17,0,False
2024-01-27,P009,WH1,Hybrid A,0,0,0,51,0,False
2024-01-27,P010,WH1,Hybrid A,5,0,5,80,0,False
2024-01-27,P011,WH1,Hybrid A,3,0,3,21,0,False
2024-01-27,P012,WH1,Hybrid A,7,0,7,28,0,False
2024-01-27,P013,WH1,Hybrid A,5,0,5,36,0,False
2024-01-27,P014,WH1,Hybrid A,6,0,6,17,0,False
2024-01-27,P015,WH1,Hybrid A,3,0,3,28,0,False
2024-01-28,P001,WH1,Hybrid A,5,0,5,161,0,False
2024-01-28,P002,WH1,Hybrid A,8,0,8,231,0,False
2024-01-28,P003,WH1,Hybrid A,21,250,21,284,0,False
2024-01-28,P004,WH1,Hybrid A,14,0,14,59,0,False
2024-01-28,P005,WH1,Hybrid A,26,0,26,190,0,False
2024-01-28,P006,WH1,Hybrid A,1,0,1,60,0,False
2024-01-28,P007,WH1,Hybrid A,3,0,3,19,0,False
2024-01-28,P008,WH1,Hybrid A,13,0,13,4,0,False
2024-01-28,P009,WH1,Hybrid A,3,0,3,48,0,False
2024-01-28,P010,WH1,Hybrid A,6,0,6,74,0,False
2024-01-28,P011,WH1,Hybrid A,0,0,0,21,0,False
2024-01-28,P012,WH1,Hybrid A,1,0,1,27,0,False
2024-01-28,P013,WH1,Hybrid A,3,0,3,33,0,False
2024-01-28,P014,WH1,Hybrid A,2,0,2,15,0,False
2024-01-28,P015,WH1,Hybrid A,2,0,2,26,0,False
2024-01-29,P001,WH1,Hybrid A,20,0,20,141,0,False
